PLR,CDF
0.000000000000000000e+00,5.166666666666667185e-01
0.000000000000000000e+00,5.222222222222222543e-01
0.000000000000000000e+00,5.277777777777777901e-01
0.000000000000000000e+00,5.333333333333333259e-01
0.000000000000000000e+00,5.388888888888888618e-01
0.000000000000000000e+00,5.444444444444443976e-01
0.000000000000000000e+00,5.500000000000000444e-01
0.000000000000000000e+00,5.555555555555555802e-01
0.000000000000000000e+00,5.611111111111111160e-01
0.000000000000000000e+00,5.666666666666666519e-01
0.000000000000000000e+00,5.722222222222221877e-01
0.000000000000000000e+00,5.777777777777777235e-01
0.000000000000000000e+00,5.833333333333333703e-01
0.000000000000000000e+00,5.888888888888889062e-01
0.000000000000000000e+00,5.944444444444444420e-01
0.000000000000000000e+00,5.999999999999999778e-01
0.000000000000000000e+00,6.055555555555555136e-01
0.000000000000000000e+00,6.111111111111111605e-01
0.000000000000000000e+00,6.166666666666666963e-01
0.000000000000000000e+00,6.222222222222222321e-01
0.000000000000000000e+00,6.277777777777777679e-01
0.000000000000000000e+00,6.333333333333333037e-01
0.000000000000000000e+00,6.388888888888888395e-01
0.000000000000000000e+00,6.444444444444444864e-01
0.000000000000000000e+00,6.500000000000000222e-01
7.142857142857142634e-03,6.555555555555555580e-01
7.142857142857142634e-03,6.611111111111110938e-01
7.142857142857142634e-03,6.666666666666666297e-01
7.142857142857142634e-03,6.722222222222222765e-01
7.142857142857142634e-03,6.777777777777778123e-01
7.142857142857142634e-03,6.833333333333333481e-01
2.142857142857142877e-02,6.888888888888888840e-01
2.142857142857142877e-02,6.944444444444444198e-01
2.857142857142857054e-02,6.999999999999999556e-01
2.857142857142857054e-02,7.055555555555556024e-01
2.857142857142857054e-02,7.111111111111111382e-01
2.857142857142857054e-02,7.166666666666666741e-01
2.857142857142857054e-02,7.222222222222222099e-01
2.857142857142857054e-02,7.277777777777777457e-01
2.857142857142857054e-02,7.333333333333332815e-01
3.571428571428571230e-02,7.388888888888889284e-01
3.571428571428571230e-02,7.444444444444444642e-01
3.571428571428571230e-02,7.500000000000000000e-01
3.571428571428571230e-02,7.555555555555555358e-01
4.285714285714285754e-02,7.611111111111110716e-01
4.285714285714285754e-02,7.666666666666667185e-01
4.285714285714285754e-02,7.722222222222222543e-01
4.285714285714285754e-02,7.777777777777777901e-01
4.285714285714285754e-02,7.833333333333333259e-01
4.285714285714285754e-02,7.888888888888888618e-01
5.000000000000000278e-02,7.944444444444443976e-01
5.000000000000000278e-02,8.000000000000000444e-01
5.000000000000000278e-02,8.055555555555555802e-01
5.000000000000000278e-02,8.111111111111111160e-01
5.000000000000000278e-02,8.166666666666666519e-01
5.000000000000000278e-02,8.222222222222221877e-01
5.000000000000000278e-02,8.277777777777777235e-01
5.000000000000000278e-02,8.333333333333333703e-01
5.714285714285714107e-02,8.388888888888889062e-01
5.714285714285714107e-02,8.444444444444444420e-01
5.714285714285714107e-02,8.499999999999999778e-01
5.714285714285714107e-02,8.555555555555555136e-01
5.714285714285714107e-02,8.611111111111111605e-01
5.714285714285714107e-02,8.666666666666666963e-01
5.714285714285714107e-02,8.722222222222222321e-01
5.714285714285714107e-02,8.777777777777777679e-01
6.428571428571427937e-02,8.833333333333333037e-01
6.428571428571427937e-02,8.888888888888888395e-01
6.428571428571427937e-02,8.944444444444444864e-01
6.428571428571427937e-02,9.000000000000000222e-01
7.142857142857142461e-02,9.055555555555555580e-01
7.142857142857142461e-02,9.111111111111110938e-01
7.142857142857142461e-02,9.166666666666666297e-01
7.142857142857142461e-02,9.222222222222222765e-01
7.857142857142856984e-02,9.277777777777778123e-01
7.857142857142856984e-02,9.333333333333333481e-01
7.857142857142856984e-02,9.388888888888888840e-01
8.571428571428571508e-02,9.444444444444444198e-01
8.571428571428571508e-02,9.499999999999999556e-01
8.571428571428571508e-02,9.555555555555556024e-01
8.571428571428571508e-02,9.611111111111111382e-01
1.000000000000000056e-01,9.666666666666666741e-01
1.000000000000000056e-01,9.722222222222222099e-01
1.142857142857142821e-01,9.777777777777777457e-01
1.357142857142857040e-01,9.833333333333332815e-01
1.428571428571428492e-01,9.888888888888889284e-01
1.642857142857142849e-01,9.944444444444444642e-01
1.642857142857142849e-01,1.000000000000000000e+00
