Time(s),ECRA_PLR,ECRA_DOP,SPS_PLR,SPS_DOP,AP-SPS_PLR,AP-SPS_DOP,CRA_PLR,CRA_DOP,PCA-RS_PLR,PCA-RS_DOP
0,0.0069583797844667405,0.0,0.038759564869404683,0.0,0.03420063993977037,0.0,0.03880433093476572,0.0,0.022461113765461584,0.0
1,0.009406540319583797,0.010416666666666666,0.03882455543439525,0.04791666666666667,0.034106569758743675,0.04375,0.028379021944239337,0.0375,0.022227238944630245,0.027083333333333334
2,0.008296544035674472,0.014583333333333334,0.03684701441452013,0.05416666666666667,0.03484694773825208,0.04791666666666667,0.017531586770717204,0.041666666666666664,0.02105685618729097,0.029166666666666667
3,0.01021629336846728,0.014583333333333334,0.03683085513520296,0.05416666666666667,0.02988613560352691,0.052083333333333336,0.02036547751765143,0.04027777777777777,0.02161185432924563,0.029166666666666667
4,0.009634150873281308,0.01875,0.032548528765920064,0.058333333333333334,0.022461555352859704,0.051388888888888894,0.0135091044221479,0.04375,0.01910590858416945,0.03472222222222222
5,0.005513935340022297,0.01875,0.025589591567852437,0.0638888888888889,0.023614286679504073,0.05069444444444445,0.013569490895577851,0.042708333333333334,0.016882402621533055,0.034027777777777775
6,0.008680044593088073,0.022916666666666665,0.023022648848735807,0.06736111111111111,0.020704199182460057,0.061111111111111116,0.015333333333333332,0.04479166666666667,0.014235160974291413,0.03854166666666667
7,0.008227053140096618,0.025,0.01785693050910442,0.06944444444444443,0.022487922705314013,0.06319444444444446,0.010777777777777777,0.04805555555555555,0.015447062599236512,0.03958333333333333
8,0.005282051282051282,0.029166666666666667,0.02095189351711091,0.0736111111111111,0.015306205871423265,0.06736111111111112,0.006615384615384616,0.04805555555555555,0.015578814904901862,0.04618055555555555
9,0.004,0.029166666666666667,0.013647528799702713,0.0798611111111111,0.013740988480118916,0.06597222222222222,0.00847957839262187,0.04791666666666667,0.014053342792473226,0.049652777777777775
10,0.005513935340022297,0.03125,0.013805648457822369,0.0798611111111111,0.017622780601041464,0.06875,0.0054492753623188415,0.04791666666666667,0.013018985845072802,0.053611111111111116
11,0.006680044593088072,0.03333333333333333,0.014860089186176144,0.08749999999999998,0.019871085436302827,0.07430555555555557,0.0069541062801932365,0.05,0.008574879227053139,0.05569444444444445
12,0.008129319955406913,0.03472222222222222,0.0190273132664437,0.09305555555555554,0.024621665773839684,0.08055555555555556,0.011401656314699792,0.05347222222222223,0.011437958177088611,0.05777777777777778
13,0.00842829634133982,0.03819444444444445,0.02113415087328131,0.10069444444444443,0.027377132529306444,0.09374999999999999,0.015125046451133406,0.05833333333333334,0.012715735954866391,0.06194444444444445
14,0.003897435897435898,0.03958333333333333,0.016962653288740245,0.1076388888888889,0.031627044453131414,0.09722222222222222,0.014017040930084409,0.0638888888888889,0.012771291510421945,0.06402777777777778
15,0.009689706428836865,0.037654320987654324,0.026694537346711254,0.09382716049382717,0.029354182811848713,0.09537037037037034,0.01402415458937198,0.05617283950617284,0.009872740785784262,0.05876543209876543
16,0.006795986622073579,0.040740740740740744,0.026998344650518567,0.10123456790123454,0.02642202966116009,0.09876543209876543,0.009578595317725754,0.06111111111111111,0.020580588493631972,0.06000000000000001
17,0.004115942028985508,0.040123456790123455,0.017,0.10864197530864193,0.015018208844295802,0.09999999999999996,0.007948717948717949,0.06296296296296296,0.018711462450592888,0.07234567901234566
18,0.002782608695652174,0.041975308641975316,0.019457264957264957,0.10864197530864193,0.01865068747677443,0.10185185185185182,0.005333333333333333,0.06666666666666667,0.01592885375494071,0.07604938271604937
19,0.0,0.041975308641975316,0.022153238066281545,0.11111111111111112,0.018407655146785582,0.10401234567901232,0.004,0.06666666666666667,0.01759552042160738,0.0754320987654321
20,0.0,0.041975308641975316,0.01975635958244654,0.11481481481481477,0.012695652173913044,0.10493827160493825,0.004,0.06666666666666667,0.0113268470659775,0.0754320987654321
21,0.0,0.041975308641975316,0.021051788790919228,0.11604938271604938,0.0129433465085639,0.10679012345679009,0.005282051282051282,0.06666666666666667,0.010204906204906206,0.07481481481481482
22,0.001282051282051282,0.041975308641975316,0.03103619810141549,0.12191358024691358,0.011250650315867704,0.1104938271604938,0.005282051282051282,0.06666666666666667,0.013094963008006489,0.07481481481481482
23,0.0026153846153846158,0.043827160493827164,0.030739890544238372,0.13179012345679011,0.01574603898516942,0.1129629629629629,0.0026153846153846158,0.0685185185185185,0.011079152731326645,0.07851851851851852
24,0.004171497584541063,0.045679012345679025,0.027935745414006282,0.13672839506172835,0.014225397790615183,0.11851851851851845,0.006898550724637681,0.0685185185185185,0.008544238370325327,0.08037037037037037
25,0.0027222222222222222,0.047530864197530866,0.017591973244147154,0.13950617283950614,0.01583706631532718,0.1194444444444444,0.006782608695652174,0.07160493827160493,0.007079152731326644,0.08037037037037037
26,0.002782608695652174,0.047530864197530866,0.020536975102192493,0.1400617283950617,0.018401168879429743,0.11944444444444441,0.004,0.0728395061728395,0.007355205181292138,0.08222222222222221
27,0.0033333333333333335,0.047530864197530866,0.021981419546636936,0.14790123456790116,0.01539578054795446,0.12253086419753081,0.0013333333333333333,0.0728395061728395,0.005797101449275362,0.08160493827160492
28,0.0033333333333333335,0.05030864197530865,0.02082014121144556,0.15222222222222218,0.015143255295429208,0.12222222222222218,0.0013333333333333333,0.0728395061728395,0.01085576259489303,0.0828395061728395
29,0.0,0.05030864197530865,0.016490523968784834,0.15160493827160487,0.012943346508563899,0.1268518518518518,0.0013333333333333333,0.0728395061728395,0.014674948240165632,0.0865432098765432
